label,Hemisphere,Region,PGS,Estimate_Score,Std_Error_Score,t_value_Score,p_value_Score,Significant_p_value_Score,Estimate_Interaction,Std_Error_Interaction,t_value_Interaction,p_value_Interaction,Significant_p_value_Interaction,Phenotype,Significant,Estimate_LMER,Sig_LMER
lh_bankssts,left,bankssts,ADHD,-0.079217583,0.040457248,-1.958056639,0.050223367,not sig,0.001352803,0.000729764,1.853753181,0.063774479,not sig,CT,LMM_NOT_SIG,NA,NA
lh_bankssts,left,bankssts,ASD,-0.00078562,0.040145866,-0.019569141,0.984387081,not sig,0.000102514,0.000725403,0.141320004,0.887617147,not sig,CT,LMM_NOT_SIG,NA,NA
lh_bankssts,left,bankssts,BIP,-0.039304369,0.040164641,-0.978581357,0.327786874,not sig,0.00073219,0.000725141,1.009721149,0.312628907,not sig,CT,LMM_NOT_SIG,NA,NA
lh_bankssts,left,bankssts,MDD,-0.014599746,0.040221197,-0.362986359,0.716615074,not sig,7.64E-05,0.000726756,0.105165189,0.916244733,not sig,CT,LMM_NOT_SIG,NA,NA
lh_bankssts,left,bankssts,SCZ,0.019270721,0.040320802,0.477934957,0.6326965,not sig,-0.000442207,0.000726835,-0.608400662,0.542921773,not sig,CT,LMM_NOT_SIG,NA,NA
lh_bankssts,left,bankssts,SUD,-0.088700991,0.04026243,-2.203070987,0.027589746,sig,0.001304727,0.000729809,1.787765875,0.073813789,not sig,CT,LMM_NOT_SIG,NA,NA
lh_caudalanteriorcingulate,left,caudal anterior cingulate,ADHD,-0.039890181,0.041209901,-0.967975659,0.333056526,not sig,0.000722754,0.000743346,0.972297813,0.330902411,not sig,CT,LMM_NOT_SIG,NA,NA
lh_caudalanteriorcingulate,left,caudal anterior cingulate,ASD,-0.012718122,0.040891182,-0.311023572,0.755782702,not sig,0.000367742,0.000738871,0.497707827,0.618689991,not sig,CT,LMM_NOT_SIG,NA,NA
lh_caudalanteriorcingulate,left,caudal anterior cingulate,BIP,-0.018564225,0.040909751,-0.453784852,0.649983688,not sig,0.000203716,0.000738598,0.275814898,0.782690241,not sig,CT,LMM_NOT_SIG,NA,NA
lh_caudalanteriorcingulate,left,caudal anterior cingulate,MDD,-0.056388437,0.040968618,-1.376381231,0.168703636,not sig,0.001016486,0.000740265,1.373137517,0.1697096,not sig,CT,LMM_NOT_SIG,NA,NA
