"label","Hemi","Region","PGS","Estimate","Std_Error","t_value","P_Value","Significant_P_Value","Phenotype","Timepoint"
"lh_bankssts","left","bankssts","ADHD",-0.0051250819263491,0.00544362055840265,-0.941484049331494,0.34646402333211,"not sig","CT","T0"
"lh_bankssts","left","bankssts","ASD",0.00445346106509043,0.00542101617418675,0.821517760138121,0.411357581230749,"not sig","CT","T0"
"lh_bankssts","left","bankssts","BIP",0.000575782978755662,0.00551551328590616,0.10439336266798,0.916857849189111,"not sig","CT","T0"
"lh_bankssts","left","bankssts","MDD",-0.010454769667038,0.0054379736833078,-1.92254877936051,0.0545456788280827,"not sig","CT","T0"
"lh_bankssts","left","bankssts","SCZ",-0.00498230023091983,0.00547379580628489,-0.910209369739234,0.362719014115368,"not sig","CT","T0"
"lh_bankssts","left","bankssts","SUD",-0.0175574156696234,0.00546339323896084,-3.21364670300813,0.00131191697694579,"not sig","CT","T0"
"lh_caudalanteriorcingulate","left","caudal anterior cingulate","ADHD",-0.000560318973399021,0.00555372731805139,-0.100890616573451,0.919637929099335,"not sig","CT","T0"
"lh_caudalanteriorcingulate","left","caudal anterior cingulate","ASD",0.00738377329602721,0.00553049292681472,1.33510220404167,0.181852471446187,"not sig","CT","T0"
"lh_caudalanteriorcingulate","left","caudal anterior cingulate","BIP",-0.00760272576906821,0.00562683573207155,-1.35115473972958,0.176655498145745,"not sig","CT","T0"
"lh_caudalanteriorcingulate","left","caudal anterior cingulate","MDD",-0.0015794870110958,0.00554820553462406,-0.284684300399269,0.775887876511928,"not sig","CT","T0"
"lh_caudalanteriorcingulate","left","caudal anterior cingulate","SCZ",-0.0109301737664659,0.00558417177742598,-1.95734912931066,0.0503151842369594,"not sig","CT","T0"
"lh_caudalanteriorcingulate","left","caudal anterior cingulate","SUD",0.00387824751278863,0.00557468705339638,0.695688829819749,0.486628814804394,"not sig","CT","T0"
"lh_caudalmiddlefrontal","left","caudal middle frontal","ADHD",0.00258206549964836,0.00482692575586091,0.534929607424183,0.592702280605244,"not sig","CT","T0"
"lh_caudalmiddlefrontal","left","caudal middle frontal","ASD",0.00850774029479077,0.00480665065957759,1.76999347307225,0.0767378243909822,"not sig","CT","T0"
"lh_caudalmiddlefrontal","left","caudal middle frontal","BIP",-0.000828623653137106,0.00489062632276758,-0.16943098868126,0.865458729919572,"not sig","CT","T0"
"lh_caudalmiddlefrontal","left","caudal middle frontal","MDD",0.00580012422347606,0.00482204383079952,1.20283523480839,0.229049057183989,"not sig","CT","T0"
"lh_caudalmiddlefrontal","left","caudal middle frontal","SCZ",0.00563998219430081,0.00485359675137134,1.16202117382481,0.245235599955592,"not sig","CT","T0"
"lh_caudalmiddlefrontal","left","caudal middle frontal","SUD",-0.0159922530637355,0.00484436913323242,-3.30120447552779,0.000963768646186665,"not sig","CT","T0"
"lh_cuneus","left","cuneus","ADHD",0.00841972052150919,0.00523483262191048,1.60840300533551,0.107756887543094,"not sig","CT","T0"
"lh_cuneus","left","cuneus","ASD",0.0106623169723844,0.00521294679213457,2.04535311744826,0.0408282826446137,"not sig","CT","T0"
"lh_cuneus","left","cuneus","BIP",0.00105663624463297,0.00530410757818753,0.199210937760435,0.842099019574261,"not sig","CT","T0"
"lh_cuneus","left","cuneus","MDD",-0.000112106112246583,0.00522984676656475,-0.0214358311534661,0.982898125713828,"not sig","CT","T0"
"lh_cuneus","left","cuneus","SCZ",0.00648897624074259,0.00526393419088455,1.23272366360115,0.217688008438449,"not sig","CT","T0"
"lh_cuneus","left","cuneus","SUD",-0.00045107186498961,0.00525484153817893,-0.0858392896745521,0.93159471439951,"not sig","CT","T0"
"lh_entorhinal","left","entorhinal","ADHD",0.00164946176670665,0.00534807111288152,0.308421808889883,0.757763412804512,"not sig","CT","T0"
"lh_entorhinal","left","entorhinal","ASD",0.000247888313960225,0.00532585355040633,0.0465443354035359,0.962876690574084,"not sig","CT","T0"
"lh_entorhinal","left","entorhinal","BIP",-0.000562809209155458,0.00541863442185339,-0.103865506572218,0.917276736871282,"not sig","CT","T0"
"lh_entorhinal","left","entorhinal","MDD",-0.00339717681128031,0.00534273374980428,-0.635849916983933,0.524878832172957,"not sig","CT","T0"
"lh_entorhinal","left","entorhinal","SCZ",0.00269892977110728,0.00537769852694726,0.501874502183999,0.615759282588732,"not sig","CT","T0"
"lh_entorhinal","left","entorhinal","SUD",0.00696387276236457,0.00536816052618498,1.29725494019711,0.194552909655471,"not sig","CT","T0"
"lh_fusiform","left","fusiform","ADHD",0.00573782006131356,0.00526173249996377,1.09048114121215,0.27550953269933,"not sig","CT","T0"
"lh_fusiform","left","fusiform","ASD",0.0114883500866578,0.00523956737000162,2.19261425140416,0.0283424144740999,"not sig","CT","T0"
"lh_fusiform","left","fusiform","BIP",0.00514689422825453,0.0053311711473779,0.965434064292982,0.334334800472209,"not sig","CT","T0"
"lh_fusiform","left","fusiform","MDD",-0.00713881905444952,0.00525645265073929,-1.35810584224429,0.174439753036869,"not sig","CT","T0"
"lh_fusiform","left","fusiform","SCZ",0.00298895468970938,0.00529096717130243,0.564916506366003,0.572134547493225,"not sig","CT","T0"
"lh_fusiform","left","fusiform","SUD",-0.00992759842296708,0.00528143468211647,-1.87971621737234,0.0601559144925771,"not sig","CT","T0"
"lh_inferiorparietal","left","inferior parietal","ADHD",0.0108073530343967,0.00463002304047315,2.334189903576,0.0195919844047869,"not sig","CT","T0"
"lh_inferiorparietal","left","inferior parietal","ASD",0.00411782647166022,0.0046111194446346,0.893020994381663,0.371852698925529,"not sig","CT","T0"
"lh_inferiorparietal","left","inferior parietal","BIP",-0.00179025019606961,0.00469149784585125,-0.381594589807337,0.702764651671334,"not sig","CT","T0"
"lh_inferiorparietal","left","inferior parietal","MDD",0.000601023785535954,0.00462582047326312,0.129928039579103,0.896624183101638,"not sig","CT","T0"
"lh_inferiorparietal","left","inferior parietal","SCZ",0.000107588270092053,0.00465608353251575,0.0231070317662281,0.981565041869674,"not sig","CT","T0"
"lh_inferiorparietal","left","inferior parietal","SUD",-0.0176179614646302,0.00464687830587916,-3.79135417476722,0.000150105244504709,"not sig","CT","T0"
"lh_inferiortemporal","left","inferior temporal","ADHD",0.000178749617578062,0.00540711878960406,0.033058200593213,0.973628383432839,"not sig","CT","T0"
"lh_inferiortemporal","left","inferior temporal","ASD",0.0124334649098297,0.00538419595267567,2.30925193271447,0.0209359921004054,"not sig","CT","T0"
"lh_inferiortemporal","left","inferior temporal","BIP",0.000454005900070285,0.00547845340808296,0.0828711802861079,0.933954492464109,"not sig","CT","T0"
"lh_inferiortemporal","left","inferior temporal","MDD",-0.0145998809036419,0.00540112737130824,-2.70311731235947,0.00687290459642915,"not sig","CT","T0"
"lh_inferiortemporal","left","inferior temporal","SCZ",-0.00346168206280433,0.00543705212266423,-0.636683626477368,0.52433553145225,"not sig","CT","T0"
"lh_inferiortemporal","left","inferior temporal","SUD",-0.00512562361153135,0.00542748958390011,-0.944382026404214,0.344981649814268,"not sig","CT","T0"
"lh_isthmuscingulate","left","isthmus cingulate","ADHD",0.00197624291463431,0.00544295199642378,0.363082921902081,0.716545359047404,"not sig","CT","T0"
"lh_isthmuscingulate","left","isthmus cingulate","ASD",0.00269483189756782,0.0054203224863285,0.497171875726012,0.619071295407255,"not sig","CT","T0"
"lh_isthmuscingulate","left","isthmus cingulate","BIP",-0.00642480829940993,0.00551465341732401,-1.16504298878089,0.244010345923207,"not sig","CT","T0"
"lh_isthmuscingulate","left","isthmus cingulate","MDD",-0.00519772369651052,0.00543747945817283,-0.955906819785416,0.339126591931293,"not sig","CT","T0"
"lh_isthmuscingulate","left","isthmus cingulate","SCZ",-0.000520749980451847,0.00547312912974639,-0.09514666438648,0.924198933858793,"not sig","CT","T0"
"lh_isthmuscingulate","left","isthmus cingulate","SUD",-0.014132786863692,0.00546296997997842,-2.58701528939168,0.00968553318180289,"not sig","CT","T0"
"lh_lateraloccipital","left","lateral occipital","ADHD",0.0153604485354495,0.0051043480105456,3.00928708303486,0.00262066999235865,"not sig","CT","T0"
"lh_lateraloccipital","left","lateral occipital","ASD",0.015529563017703,0.00508311325893871,3.05512827013919,0.00225150818147145,"not sig","CT","T0"
"lh_lateraloccipital","left","lateral occipital","BIP",-0.00103409215314351,0.00517242303006222,-0.19992412591417,0.841541202093519,"not sig","CT","T0"
"lh_lateraloccipital","left","lateral occipital","MDD",0.00419696514959232,0.00509995154761249,0.822942161393103,0.410547066533043,"not sig","CT","T0"
"lh_lateraloccipital","left","lateral occipital","SCZ",0.00251796990973189,0.00513335044732738,0.490511983463517,0.623775042216214,"not sig","CT","T0"
"lh_lateraloccipital","left","lateral occipital","SUD",-0.00618522140527386,0.00512426314859743,-1.20704601342865,0.227423417383058,"not sig","CT","T0"
"lh_lateralorbitofrontal","left","lateral orbitofrontal","ADHD",0.0153389144122115,0.00509758662212175,3.00905419549831,0.00262267912972444,"not sig","CT","T0"
"lh_lateralorbitofrontal","left","lateral orbitofrontal","ASD",0.012008988473911,0.00507667869006085,2.3655206892298,0.0180107117497923,"not sig","CT","T0"
"lh_lateralorbitofrontal","left","lateral orbitofrontal","BIP",-0.0081885152729008,0.00516537016414827,-1.58527172548746,0.112914570223965,"not sig","CT","T0"
"lh_lateralorbitofrontal","left","lateral orbitofrontal","MDD",0.00665596299978444,0.0050931132012807,1.30685550011155,0.191271257836686,"not sig","CT","T0"
"lh_lateralorbitofrontal","left","lateral orbitofrontal","SCZ",0.000158122105473585,0.00512656987770978,0.030843645799328,0.975394426535706,"not sig","CT","T0"
"lh_lateralorbitofrontal","left","lateral orbitofrontal","SUD",0.00245768930892774,0.00511757410437183,0.480244986941799,0.631056510538096,"not sig","CT","T0"
"lh_lingual","left","lingual","ADHD",0.0079135221598022,0.00527582864504595,1.49995814728234,0.133635188324664,"not sig","CT","T0"
"lh_lingual","left","lingual","ASD",0.000663561850380774,0.00525408835446511,0.126294383652086,0.899499701635827,"not sig","CT","T0"
"lh_lingual","left","lingual","BIP",0.00655431870617737,0.00534549451466555,1.22613888915149,0.220155508045664,"not sig","CT","T0"
"lh_lingual","left","lingual","MDD",0.00531941303737485,0.00527069124952858,1.00924390853868,0.312865365347336,"not sig","CT","T0"
"lh_lingual","left","lingual","SCZ",0.00599833367516746,0.00530515011030131,1.13066238474952,0.258205760667964,"not sig","CT","T0"
"lh_lingual","left","lingual","SUD",0.000984134780330178,0.00529596387940517,0.185827321095837,0.852581365766088,"not sig","CT","T0"
