PGS,Estimate,Std_Error,t_value,P_Value,Significant_P_Value,Phenotype,Timepoint
scaledscore_ADHD,0.009433334,0.005031609,1.87481443,0.060827431,not sig,CT,T0
scaledscore_ASD,0.014932949,0.005010276,2.980464661,0.002880295,not sig,CT,T0
scaledscore_BIP,-0.005025171,0.005098195,-0.985676555,0.32429937,not sig,CT,T0
scaledscore_MDD,-0.001519156,0.005026883,-0.302206431,0.762496682,not sig,CT,T0
scaledscore_SCZ,0.00077241,0.005059774,0.152656955,0.878669778,not sig,CT,T0
scaledscore_SUD,-0.016014481,0.005050116,-3.171111378,0.001520013,not sig,CT,T0
scaledscore_ADHD,0.020541392,0.027768124,0.739747202,0.459600792,not sig,CT,T1
scaledscore_ASD,0.029190643,0.028218307,1.034457624,0.30113459,not sig,CT,T1
scaledscore_BIP,0.007163158,0.027799301,0.257674022,0.796703502,not sig,CT,T1
scaledscore_MDD,0.035245935,0.027848584,1.265627529,0.205896724,not sig,CT,T1
scaledscore_SCZ,-0.004296081,0.028853975,-0.148890435,0.881665572,not sig,CT,T1
scaledscore_SUD,-0.026257197,0.028428459,-0.92362367,0.35587143,not sig,CT,T1
scaledscore_ADHD,-0.043035781,0.004523033,-9.514805211,1.94E-21,sig,SA,T0
scaledscore_ASD,-0.011597895,0.004510185,-2.5714901,0.0101307,not sig,SA,T0
scaledscore_BIP,0.017117995,0.004588229,3.730850475,0.000191167,not sig,SA,T0
scaledscore_MDD,-0.023975615,0.004522978,-5.300846955,1.16E-07,sig,SA,T0
scaledscore_SCZ,-0.001131498,0.004554577,-0.248430953,0.803802594,not sig,SA,T0
scaledscore_SUD,-0.003730064,0.004546558,-0.82041502,0.411985716,not sig,SA,T0
scaledscore_ADHD,-0.029235269,0.022918252,-1.275632604,0.202336908,not sig,SA,T1
scaledscore_ASD,-0.007382668,0.023310065,-0.316715882,0.751515312,not sig,SA,T1
scaledscore_BIP,0.001645851,0.022955091,0.071698732,0.942853835,not sig,SA,T1
scaledscore_MDD,-0.03996191,0.022981342,-1.738884991,0.082316237,not sig,SA,T1
scaledscore_SCZ,0.006467793,0.02382484,0.271472671,0.786075082,not sig,SA,T1
scaledscore_SUD,-0.004214778,0.023482181,-0.17948837,0.857585115,not sig,SA,T1
scaledscore_ADHD,-0.035283159,0.004405877,-8.008203379,1.20E-15,sig,GMV,T0
scaledscore_ASD,-0.003088392,0.004391962,-0.703191794,0.481941389,not sig,GMV,T0
scaledscore_BIP,0.014058685,0.004467813,3.146659326,0.001652999,not sig,GMV,T0
scaledscore_MDD,-0.02288872,0.004404072,-5.197172329,2.04E-07,sig,GMV,T0
scaledscore_SCZ,2.95E-05,0.004434768,0.006645304,0.994697895,not sig,GMV,T0
scaledscore_SUD,-0.010901659,0.00442658,-2.462772574,0.013792002,not sig,GMV,T0
scaledscore_ADHD,-0.014669998,0.022651889,-0.647628023,0.517351759,not sig,GMV,T1
scaledscore_ASD,0.012207184,0.023025585,0.530157408,0.596102712,not sig,GMV,T1
scaledscore_BIP,0.003537027,0.022676497,0.155977658,0.876077357,not sig,GMV,T1
scaledscore_MDD,-0.020973719,0.022723517,-0.922996166,0.35619821,not sig,GMV,T1
scaledscore_SCZ,0.005795887,0.023536013,0.246256104,0.805526889,not sig,GMV,T1
scaledscore_SUD,-0.017316699,0.023192209,-0.746660172,0.455417705,not sig,GMV,T1
